Name,Price,Currency,ID,URL
Сальник ствола RTI Stoeger X20,35,UAH,86231862,https://co2.prom.ua/p86231862-salnik-stvola-rti.html
"Мушка универсальная для винтовок Hatsan, Kral, Torun, Crosman, XTSG и др.",125,UAH,86916440,https://co2.prom.ua/p86916440-mushka-universalnaya-dlya.html
"Мушка универсальная обновл. для винтовок Hatsan, Kral, Torun, Crosman, XTSG и др.",125,UAH,86916732,https://co2.prom.ua/p86916732-mushka-universalnaya-obnovl.html
"Пробка корпуса клапана для пистолетов Crosman, Borner, Umarex (металл)",100,UAH,86919454,https://co2.prom.ua/p86919454-probka-korpusa-klapana.html
Пружина VB на МР-512,130,UAH,86921247,https://co2.prom.ua/p86921247-pruzhina-512.html
"Пружина VB на ИЖ-61, ИЖ-60",130,UAH,86921624,https://co2.prom.ua/p86921624-pruzhina-izh-izh.html
"Усиленная пружина VB для ИЖ-22, ИЖ-38",130,UAH,86924798,https://co2.prom.ua/p86924798-usilennaya-pruzhina-dlya.html
Пружина на Чайку 01 оригинал,110,UAH,86926122,https://co2.prom.ua/p86926122-pruzhina-chajku-original.html
"Пружина VB на Hammerli 900, Hammerli 1000",130,UAH,86927878,https://co2.prom.ua/p86927878-pruzhina-hammerli-900.html
"Газовая пружина SLV для B-3 (Shanghai, XTSG, Snowpeak, Kandar, Tytan)",250,UAH,95007585,https://co2.prom.ua/p95007585-gazovaya-pruzhina-slv.html
Накладка бук,14,USD,95762682,https://co2.prom.ua/p95762682-nakladka-buk.html
"Накладка ""Pocket"" ",14,USD,95766524,https://co2.prom.ua/p95766524-nakladka-pocket.html
Накладка орех,31,USD,95768496,https://co2.prom.ua/p95768496-nakladka-oreh.html
Накладка резинометалл,26,USD,95769605,https://co2.prom.ua/p95769605-nakladka-rezinometall.html
"Накладки для револьверов Ekol, Profi, Stalker, Trooper (бук)",6,USD,95772188,https://co2.prom.ua/p95772188-nakladki-dlya-revolverov.html
"Манжета RTI на ИЖ-22, ИЖ-38, МР-512, ИЖ-60, ИЖ-61, ИЖ-53, ИЖ-40",50,UAH,96481719,https://co2.prom.ua/p96481719-manzheta-rti-izh.html
"Накладка на рукоять ПМФ-1, МР-654К ( 32 серия ) бакелитовая",180,UAH,96482110,https://co2.prom.ua/p96482110-nakladka-rukoyat-pmf.html
"Сальник ствола RTI ИЖ 22, ИЖ 38",35,UAH,102733713,https://co2.prom.ua/p102733713-salnik-stvola-rti.html
Рем.комплект на МР-654К 5 колец,50,UAH,103374668,https://co2.prom.ua/p103374668-remkomplekt-654k-kolets.html
Уплотнение ствола МР-654 К (28 серия) полиуретан,30,UAH,103375206,https://co2.prom.ua/p103375206-uplotnenie-stvola-654.html
